,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
94,22021,1610612759,SAS,San Antonio Spurs,1522100056,2021-08-15,SAS vs. BKN,L,199,100,39,86,0.453,13,36,0.361,9,13,0.692,8,26,34,19,10,6,12,25,-3.6
95,22021,1610612759,SAS,San Antonio Spurs,1522100030,2021-08-12,SAS @ CHA,W,200,106,39,71,0.549,10,29,0.345,18,21,0.857,8,23,31,25,4,6,15,18,2.4
96,22021,1610612759,SAS,San Antonio Spurs,1522100019,2021-08-10,SAS vs. CHI,L,199,89,34,79,0.43,8,26,0.308,13,17,0.765,10,34,44,17,3,7,15,21,5.4
97,22021,1610612759,SAS,San Antonio Spurs,1522100013,2021-08-09,SAS @ MIN,L,201,89,30,69,0.435,11,26,0.423,18,25,0.72,8,23,31,20,8,1,13,18,-4.2
98,22021,1610612759,SAS,San Antonio Spurs,1622100005,2021-08-06,SAS @ MEM,L,200,77,30,79,0.38,4,29,0.138,13,15,0.867,8,36,44,12,6,9,12,19,-9.2
99,22021,1610612759,SAS,San Antonio Spurs,1622100003,2021-08-04,SAS @ UTB,L,201,54,20,70,0.286,3,28,0.107,11,14,0.786,10,25,35,8,4,3,16,20,-21.8
100,22021,1610612759,SAS,San Antonio Spurs,1622100002,2021-08-03,SAS @ UTW,L,199,58,26,76,0.342,4,28,0.143,2,6,0.333,4,29,33,12,10,6,11,13,-24.4
101,52020,1610612759,SAS,San Antonio Spurs,0052000131,2021-05-19,SAS @ MEM,L,240,96,34,97,0.351,8,22,0.364,20,24,0.833,15,40,55,20,5,7,8,22,-4.0
102,22020,1610612759,SAS,San Antonio Spurs,0022001078,2021-05-16,SAS vs. PHX,L,240,121,50,98,0.51,7,24,0.292,14,19,0.737,11,35,46,30,5,5,10,8,-2.0
103,22020,1610612759,SAS,San Antonio Spurs,0022001065,2021-05-15,SAS vs. PHX,L,240,103,39,88,0.443,4,26,0.154,21,24,0.875,7,34,41,23,5,2,16,17,-37.0
