,id,full_name,first_name,last_name,is_active
4584,200761,Shawne Williams,Shawne,Williams,False
4585,200749,Shelden Williams,Shelden,Williams,False
4586,78570,Sly Williams,Sly,Williams,False
4587,201944,Terrence Williams,Terrence,Williams,False
4588,1576,Travis Williams,Travis,Williams,False
4589,1627786,Troy Williams,Troy,Williams,False
4590,1005,Walt Williams,Walt,Williams,False
4591,78573,Ward Williams,Ward,Williams,False
4592,78574,Willie Williams,Willie,Williams,False
4593,1630533,Ziaire Williams,Ziaire,Williams,True
4594,1629057,Robert Williams III,Robert,Williams III,True
4595,1628475,Matt Williams Jr.,Matt,Williams Jr.,False
4596,1628430,Nigel Williams-Goss,Nigel,Williams-Goss,False
4597,722,Corliss Williamson,Corliss,Williamson,False
4598,78575,John Williamson,John,Williamson,False
4599,1629627,Zion Williamson,Zion,Williamson,True
4600,788,Kevin Willis,Kevin,Willis,False
4601,78577,Bill Willoughby,Bill,Willoughby,False
4602,2000,Dedric Willoughby,Dedric,Willoughby,False
4603,78586,Bob Wilson,Bob,Wilson,False
4604,78585,Bobby Wilson,Bobby,Wilson,False
4605,1628391,D.J. Wilson,D.J.,Wilson,True
4606,78579,George Wilson,George,Wilson,False
4607,78580,Isaiah Wilson,Isaiah,Wilson,False
4608,203966,Jamil Wilson,Jamil,Wilson,False
4609,78581,Mike Wilson,Mike,Wilson,False
4610,78582,Nikita Wilson,Nikita,Wilson,False
4611,78578,Othell Wilson,Othell,Wilson,False
4612,78583,Rick Wilson,Rick,Wilson,False
4613,78584,Ricky Wilson,Ricky,Wilson,False
4614,78587,Thomas Wilson,Thomas,Wilson,False
4615,1027,Trevor Wilson,Trevor,Wilson,False
4616,1627787,Kyle Wiltjer,Kyle,Wiltjer,False
4617,78589,Kennard Winchester,Kennard,Winchester,False
4618,78590,Tony Windis,Tony,Windis,False
4619,1629685,Dylan Windler,Dylan,Windler,True
4620,78591,John Windsor,John,Windsor,False
4621,78592,Lee Winfield,Lee,Winfield,False
4622,766,David Wingate,David,Wingate,False
4623,112,Dontonio Wingfield,Dontonio,Wingfield,False
4624,78596,Harthorne Wingo,Harthorne,Wingo,False
4625,78597,Marv Winkler,Marv,Winkler,False
